cd,mhIncome
2,113496.0
3,123902.0
4,156118.0
5,135600.0
6,132566.0
7,78368.0
11,65341.0
12,57450.0
14,36222.0
15,32758.0
16,34816.0
19,87321.0
20,53075.0
24,76188.0
27,82815.0
28,77382.0
29,87764.0
30,76724.0
31,71662.0
35,90260.0
38,61291.0
42,43385.0
43,59479.0
44,60596.0
45,76061.0
46,81983.0
47,69522.0
48,66374.0
21,55816.0
51,98711.0
23,85388.0
26,66869.0
22,79143.0
25,65327.0
49,70968.0
50,89160.0
9,57816.0
10,61300.0
13,67274.0
18,46707.0
1,104779.0
33,105306.0
34,80033.0
36,67540.0
41,47531.0
8,35462.0
17,30265.0
32,73206.0
37,53193.0
39,126412.0
40,70313.0
